superficie,adresse,prix,image_lien
150.0,Ndiakhirate                                                                                Dakar,14000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c75f0a132f24da4238f89892ac333e7/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qrz8xmmq/16a5de4306c5b382151e759b03b76d9975475fc8.jpg
165.0,Almadies                                                                                Dakar,100000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ad82c79405ac19fb6ea1606d1c9378b5/-/horizon-files-prod/ed/picture/qxjp7082/5ab66473f9f4e35247f923cd1528602e134d0c15.jpg
300.0,Keur moussa                                                                                Thiès,4500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d10abdd4116e9f7d3d8d49194fa9899/-/horizon-files-prod/ed/picture/q44nmk42/4ebbd13acf07dc036618eed644240ad4d718afd1.jpg
150.0,Almadies                                                                                Dakar,95000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8e563ffbf34bdd17133805be295e5c79/-/horizon-files-prod/ed/picture/qzvp09m9/561e801bd26419028e67d0e8c4d70e120f34ec37.jpg
150.0,Almadies 2                                                                                Dakar,25000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/011ebd1baee5271e0a7d1362844a2267/-/horizon-files-prod/ed/picture/qwep6knm/b3a7d0a5f21c60e3d96675341668a31183c16e2e.jpg
600.0,Somone                                                                                Thiès,49000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a1d0a1cfbb051aea158f5700aab7eb4e/-/horizon-files-prod/ed/picture/q6xd89r4/a8c1090b9780b746b1c0ca41d7e8be399d2f431d.jpg
280.0,Almadies                                                                                Dakar,135000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99eecad1cd07f7eac237e53d366fdc90/-/horizon-files-prod/ed/picture/qv4wjjqv/ebb345516fe1c4fd51b957394b2e87865cc661fb.jpg
300.0,Keur moussa                                                                                Thiès,4000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/92b1cbdf1de5a79ef32cb28129df6613/-/horizon-files-prod/ed/picture/q9mjvvm8/09aa644766547d4930be045763ff4e296ea0bafb.jpg
300.0,Zac Mbao                                                                                Dakar,60000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/45350c324d1d01ee10420fcd7226e4b6/-/horizon-files-prod/ed/picture/qxjp9m8j/b55587470a99472173b3880587ed56aed25f85f7.jpg
300.0,Keur Massar                                                                                Dakar,35000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9c8d3dc904da33e4b1f3dd1679497003/-/horizon-files-prod/ed/picture/qpd62wqm/e0299756124d6632aad23e99f907161e749e543d.jpg
150.0,Kounoune                                                                                Dakar,10000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fb85de3adfe3ebdc1d7fd6832b4b0391/-/horizon-files-prod/ed/picture/qkr8k99v/9fcca52593b145593f63179c11ea2cfbe8cac153.jpg
150.0,Ndiakhirate                                                                                Dakar,14000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c75f0a132f24da4238f89892ac333e7/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qrz8xmmq/16a5de4306c5b382151e759b03b76d9975475fc8.jpg
150.0,Mamelles                                                                                Dakar,0.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/272fbb141f757b63bb9fa95239cf497f/-/horizon-files-prod/ed/picture/qenvzr46/74e846e2021a995553eebf09a2b2b1e967e93c82.jpg
0.0,Ouakam                                                                                Dakar,120000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/217680e82d8359ffa2fd30e8a568da03/-/horizon-files-prod/ed/picture/q6xd8kg6/fb2366a90a02b3f8b583b8e8e4148aab916beb5b.jpg
600.0,Nguering                                                                                Thiès,30000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/80ff3e8b5a8d09e32c20095769c91646/-/horizon-files-prod/ed/picture/qwep6x8z/c63d2ec950e9fdeb2dd46b308b04e849955cefd8.jpg
225.0,Thiès                                                                                Thiès,600000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/edcce7028e3dc6e07af56223a92fdf0d/-/horizon-files-prod/ed/picture/qv4wvjpk/be34c6200700f1c61e520c9fe47a62823a242ab1.jpg
225.0,Thiès                                                                                Thiès,2500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9af4ef1012ceb6b58429d78d043ad98d/-/horizon-files-prod/ed/picture/q2jqmkgj/002919cad012fb8f181c4abc8025700a9e96ad76.png
150.0,Ndiakhirate                                                                                Dakar,14000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5438516d18ce51d17bfef48e01f7f449/-/horizon-files-prod/ed/picture/qkr8xj6x/10e8a84201a35f0c6a3abaf8c7c164683dd52a03.jpg
538.0,Almadies                                                                                Dakar,450000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/52d91e9edb81ca6005f8d4212e09450c/-/horizon-files-prod/ed/picture/q56dkq4e/81e49377ab132dd2f3f1395cb24f9bdd691bb4ad.jpg
0.0,Bambilor                                                                                Dakar,16000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a115ff03fb84520e74c40451fc30d3a2/-/horizon-files-prod/ed/picture/qj4q0d5w/d4d536cefe0e9c8b5de40c22675dc31eca7ecb7d.jpg
539.0,Ouakam                                                                                Dakar,2539000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4b7a1e1449b2b26e6cd54f44b75f0261/-/horizon-files-prod/ed/picture/qwep0je6/4257fc01efdf2020c52f02e8508605e6c5158839.png
0.0,Saly                                                                                Thiès,1600000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4d224ab9785616d8442c41353b72ba07/-/horizon-files-prod/ed/picture/qm5gwj66/7adfd5bf5f2999f595cf2cf6fd912406c1c17736.png
150.0,Ndiakhirate                                                                                Dakar,14000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c75f0a132f24da4238f89892ac333e7/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qrz8xmmq/16a5de4306c5b382151e759b03b76d9975475fc8.jpg
400.0,Somone                                                                                Thiès,25000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f114fac48a89a1dc7056c0570e255946/-/horizon-files-prod/ed/picture/qkr8zxpx/11e70720c0e5cab10411f5e90f7991365e99d057.jpg
2.0,Mamelles                                                                                Dakar,650000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/afed14dd59241aafd7578b32ec29f6e1/-/horizon-files-prod/ed/picture/q44n26p8/d7557c593587e13150f5bb7e7569b873133cb173.jpg
222.0,Almadies                                                                                Dakar,148000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ba31e94cb30d92b538f5a84a23f93b78/-/horizon-files-prod/ed/picture/qzvpkj8r/61cb5803fb48868147c50325bfa6e22b601a85b2.jpg
400.0,Saly                                                                                Thiès,40000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a011582ec25b6a5ba4b8df457771445/-/horizon-files-prod/ed/picture/qq42r86p/e2bbce085fe32d3f582913c870060e60ec0cabab.jpg
508.0,Zone de captage                                                                                Dakar,0.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/595387d87928865275daaf77cfab5316/-/horizon-files-prod/ed/picture/qv4wj5dw/01fc56a4e081635a0c71d03662e5be1ade9452a9.png
0.0,Virage                                                                                Dakar,0.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ec17aa49cfde6afc2664841bb60b1cbf/-/horizon-files-prod/ed/picture/qrz8x4r4/84f547e8b43a9ce3ca31a45ffd549ece840b8361.png
0.0,Mbodiene                                                                                Thiès,12000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/de57cf4aa8d5718be559ed3abcab9e80/-/horizon-files-prod/ed/picture/q2j0xjdd/a4abf75edcdaa6f5302823259c24f93e532bacde.jpg
