nombre_chambre,superficie,adresse,prix,image_lien
1.0,0.0,Sicap Sacré-cœur                                                                                Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1e1cc378536c1a3a096b716ddff2cd18/-/horizon-files-prod/ed/picture/q8v4knzj/0db12ebeccf804cecde2f0143d8f60047b264821.jpg
2.0,70.0,Zac Mbao                                                                                Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3243dea97e44364d4bf027e734fad77c/-/horizon-files-prod/ed/picture/qde7gxgr/80a54a09d4e7e55d156e98f08e4ba26ea3e7dc3d.jpg
0.0,120.0,Saly                                                                                Thiès,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/115d2b91a638acaf51c893fa1832951f/-/horizon-files-prod/ed/picture/qenv8xr9/adca9b3982c50f56338c1c352a8db11d95c8180c.jpg
1.0,0.0,Liberte 6                                                                                Dakar,22500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/35756f7314dc9fe29611d056044be91c/-/horizon-files-prod/ed/picture/qwep686g/1b22ec2dbb2204da3affd051af9d2619ea2fff53.jpg
1.0,70.0,Liberte 6                                                                                Dakar,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dc43a4bfc079e947fae12dad3becdba7/-/horizon-files-prod/ed/picture/qde7q4dm/61012e0b95512fa170d145897a51f5938a2f3d89.jpg
1.0,0.0,Liberte 6                                                                                Dakar,22500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fbf93d69c0dad7c49729d43df24fd0a5/-/horizon-files-prod/ed/picture/qgqw607q/edb6a77615a55bc90d48765909b7c695ac2bb2e0.jpg
1.0,0.0,Sacré-cœur                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9fbd30a8314c8e8720d99340179ca318/-/horizon-files-prod/ed/picture/qpdmgnm2/a6a1ae7eb17834a09a864b31bbc9435b8b66f8ca.jpg
2.0,0.0,Almadies 2                                                                                Dakar,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6666fc72e557f382b0122e71fd0bc833/-/horizon-files-prod/ed/picture/qxjp7g28/2647644c778523eb953e13ae03d77cdce7febd06.jpg
1.0,80.0,Virage                                                                                Dakar,55000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5a010051103e690d947b23daf6421002/-/horizon-files-prod/ed/picture/q44ng075/6705e97911c9fcad9e9fb66226d6a1de8731278e.jpg
1.0,20.0,Hann maristes                                                                                Dakar,17000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb3d46e30872a40b5a9f0638b12b2ca6/-/horizon-files-prod/ed/picture/q29g4pq/5d4965170912342dac4524610f235ee9d9dbf8e7.jpg
2.0,100.0,VDN                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2dcbd39757159c05e8df5f196c20c867/-/horizon-files-prod/ed/picture/qd6me50/aa00e1152dbd4252ce6449fe5434ad82cdccae26.jpg
0.0,0.0,Almadies                                                                                Dakar,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8343d7db57a30a7983e13a7a192bdf62/-/horizon-files-prod/ed/picture/qwep9v7m/acceae9b7ca81846d44ce37403cc628eebdf68c8.jpg
