Détails,Tags,Adresse,Prix,Image
Appartement de standing à louer,4 chambre200 m²,"Ngor,
                                                                                Dakar",750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1c0a364a3f7b2bdc444fd814b8970429/-/horizon-files-prod/ed/picture/qgqwk2jm/0676d2092fb6fcff5fe854e6796ffd29ec8c68fa.jpg
Appartement à louer aux Mamelles,2 chambre,"Mamelles,
                                                                                Dakar",414 400 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb24a1ca5a3c98610588854ce01d9f70/-/horizon-files-prod/ed/picture/q6xd8r7n/7c15185dc4f7566441c22d25f77d576e5b258fca.jpg
Villa résidentielle pour bureau ou logement de fonction,3 chambre150 m²,"Mamelles,
                                                                                Dakar",1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/380e5909adb2416ebb65d197cc618f95/-/horizon-files-prod/ed/picture/qgqw7px4/e77bb1db4d4f552993265bf3311348f295b6b761.jpg
Triplex de standing à louer aux Mamelles,5 chambre,"Mamelles,
                                                                                Dakar",1 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6bf6fb3d199b9a4fd94c42707bb65744/-/horizon-files-prod/ed/picture/q0g74e8j/de1173db89e7c22cf181db6a408325a723fc6afb.jpg
Studio neuf à louer sur la corniche de Ouakam,1 chambre,"Mamelles,
                                                                                Dakar",225 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/311325d259a7184a0c68a577bd9698b7/-/horizon-files-prod/ed/picture/qde7qpwm/45d2d3be3e83476c91b5d79634f3455d7d6d1aed.jpg
Appartement de 2chambres salon à louer à Mixta,2 chambre,"Cite Mixta,
                                                                                Dakar",250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ef9e146a97c5e1e725c5754322fcfc7c/-/horizon-files-prod/ed/picture/q44ng2xz/ba83a5b8f344847a6ff739a673b79ba50c0e790e.jpg
Appartement de haut standing à louer aux Mamelles,2 chambre,"Mamelles,
                                                                                Dakar",700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/643fe59b47527d3cea64bc120d89ab55/-/horizon-files-prod/ed/picture/qj4q0w0g/4a36e5813a73df3c0f4a98b2860bcf5f726dd8cf.jpg
Appartement de standing à louer aux Mamelles,3 chambre150 m²,"Mamelles,
                                                                                Dakar",500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7b04cab2e6ef46efa67a25263882c5f3/-/horizon-files-prod/ed/picture/q9mjvdzx/878d60b8ec1f6b438cd1fdd26ee2db8616abc2d9.jpg
Ref_2779_SEY F4 en duplex vide à louer à Dakar Plateau,3 chambre,"Plateau,
                                                                                Dakar",1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bd22cae5cc7a3020dfbbab2ee5dbbcae/-/horizon-files-prod/ed/picture/q6xd9x86/f90e152369874bf87d471227dd325e794d9fd4c2.jpg
Beau appartement à louer,2 chambre,"Keur Massar,
                                                                                Dakar",130 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0dd8ba2bea429193f671b1d58a821a5b/-/horizon-files-prod/ed/picture/qj4qe4de/cf50ad54145019af85cf146cd1776622ea485566.jpg
Fann résidence,3 chambre198 m²,"Fann,
                                                                                Dakar",1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/73faa01e58d9a1b6083b5d72cecf9cbc/-/horizon-files-prod/ed/picture/q44nv4wm/068addc0f5a537eaf4d3a06c1f401bc9dc62db07.jpg
Appartement f4 à louer aux almadie,3 chambre200 m²,"Almadies,
                                                                                Dakar",1 100 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c784f75bb8fd111d55609dd0d6a85c49/-/horizon-files-prod/ed/picture/q78w6nez/1a8b7ad4eb105122bdab139482aa1aabff95c3d0.jpg
Appartement,3 chambre1 m²,"Golf,
                                                                                Dakar",250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9e491b4160571f8471722066288b5c55/-/horizon-files-prod/ed/picture/qde7g89g/3d50a675e95a15fc2fc192466b528826fa55ace8.jpg
Bel appartement à Mermoz (derrière la boutique mathidy),2 chambre,"Mermoz,
                                                                                Dakar",400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/02fc21cf63abf01734cc8713d50cf761/-/horizon-files-prod/ed/picture/q78w6d4n/f33b3bc99892ca362ccef51cfe8b52a0506d650e.jpg
Studio à louer sicap liberté 3,1 chambre,"Mamelles,
                                                                                Dakar",800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8e2795e8866f4b37d42a8dd5d7024b01/-/horizon-files-prod/ed/picture/qgqw86n4/28266160d182faba8c0e76e340103191b16af6fc.jpg
Appartement à louer Mermoz Sotrac,3 chambre,"Mermoz,
                                                                                Dakar",900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2fa4b1fc73948a8527feeba5436fd92d/-/horizon-files-prod/ed/picture/q78wg6nx/6c421b7e0e2948d7e289eb00f9fdb86e3132de2d.jpg
splendide appartement à louer,3 chambre,"Tivaouane peulh,
                                                                                Dakar",250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7bc7ba4dc85ddfe4cd596eae0de430f0/-/horizon-files-prod/ed/picture/qngpeg2e/cab01b1585b321abfd08aac1f76c55c3e9af1bd2.jpg
Studio propre à louer à zac mbao,,"Zac Mbao,
                                                                                Dakar",125 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fb0f37390b5e0c29516176174488a6a8/-/horizon-files-prod/ed/picture/q2j0x4r2/ee35f4b7596a8c5ca0391a6e5674ef129737b7ef.jpg
Ref_2778_PL  Appartement à louer  à Fann Résidence,3 chambre,"Fann,
                                                                                Dakar",2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3898089ef1981605fbe8b0dc2b1c8932/-/horizon-files-prod/ed/picture/qde7pe22/874bd72bd67432682557a067231debfc0bb77cf1.jpg
Studio à louer aux almadies,,"Almadies,
                                                                                Dakar",200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/46cae62665eebe030784d00dad0700c9/-/horizon-files-prod/ed/picture/qpd6wqx4/f7359378d3c6daa66d744f668bb83947397822e4.jpg
A LOUER APPARTEMENT F3 EN VILLE,2 chambre,"Plateau,
                                                                                Dakar",1 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3c6e4d7fd33601d51581e1d81dc87ace/-/horizon-files-prod/ed/picture/q8v4r65z/febf78e6fcc1a73c38c7de008657578e8e82f683.png
