nombre_chambre,superficie,adresse,prix,image_lien
3.0,146.0,Almadies                                                                                Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a656141043934838416e0dc71f10a7e3/-/horizon-files-prod/ed/picture/q56x0jpx/1e410f5d28101d05981460175201d99b34689fd2.jpg
3.0,100.0,Point-e                                                                                Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a60343a9c2e3773ced551fe61975705/-/horizon-files-prod/ed/picture/q44nn6dm/ef1bb200d4a814196035a3b8c37ca78a73825969.jpg
3.0,200.0,Virage                                                                                Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dd5095cd4db4c8f62ebccdcd90bea4d4/-/horizon-files-prod/ed/picture/qkr8k6gp/845f03fe2d23ce98599bbaa651f0e68a63df35b1.jpg
2.0,0.0,Zone de captage                                                                                Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/48b3d40fe632ad572f31b82acdc0fa8c/-/horizon-files-prod/ed/picture/qkr8kpz8/8fa8fbab6006a4c063b6c585d06a10a378bfd77d.jpg
2.0,0.0,Sicap foire                                                                                Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/32f075696c1f678a3c532d9eedd2dce0/-/horizon-files-prod/ed/picture/q6xdjepn/5a32fd69c79ceeaf96b238773c76a3aafd6c3926.jpg
2.0,0.0,Ouest foire                                                                                Dakar,280000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/00c9eaebedc9b262af35d9e4b0f64c55/-/horizon-files-prod/ed/picture/qzvp0prr/f379667f6a5f5e6f7c98a3cc97b243ce1301f8c9.png
2.0,0.0,Somone                                                                                Thiès,275000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6aca6dfa06dd98eda720fceed260dcd6/-/horizon-files-prod/ed/picture/qpdm4k60/c3abb771c1e58cbf268586708ed3af10a46a108a.jpg
3.0,272.0,Fenêtre mermoz                                                                                Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e857280217fbd4da087edaea88b6fccd/-/horizon-files-prod/ed/picture/q8v47qkn/5b06c2d959ed3e60180e832a20ad811d16333eb9.jpg
3.0,200.0,Rufisque                                                                                Dakar,150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f7a2a57ade4d56d5d46f5966e00587a9/-/horizon-files-prod/ed/picture/q56ddk7g/4808c25bb39cce4793ca4ba1d8ab59038b59ce20.jpg
1.0,0.0,Sacré-cœur                                                                                Dakar,275000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d84b1397dbea5f8cab9816fe62366c4d/-/horizon-files-prod/ed/picture/qrz8w885/4a1d74686b53a20215223e55de00c2b0e1e3fe0f.jpg
